"question_id","version","module","subtype","item_format","difficulty","drift_role","prompt_template","turn_script","ground_truth","scoring_method","scoring_params","module_quota_tag","qa_status","rotation_replaceable","rotation_priority","rotation_expected_lifespan_days","provenance_rewrite_ids","provenance_source_candidate_ids","provenance_transformation_summary","notes"
"C4-001","QB-v1.2","C4","consistency_bundle","multi_turn_group","hard","probe","","[{""branch_key"": ""p1"", ""content_template"": ""澳大利亚的首都是什么？"", ""speaker"": ""user"", ""turn_index"": 1}, {""branch_key"": ""p2"", ""content_template"": ""请说出澳大利亚的行政首都。"", ""speaker"": ""user"", ""turn_index"": 2}, {""branch_key"": ""p3"", ""content_template"": ""哪座城市是澳大利亚联邦政府所在地？"", ""speaker"": ""user"", ""turn_index"": 3}]","Canberra","consistency_bundle","{""accepted_answers"": [""Canberra""], ""session_mode"": ""isolated_turns""}","consistency","ready","True","1","90","rw-c4-001","ifeval-1000","Privateized C4/consistency_bundle item derived from IFEval.",""
"C4-002","QB-v1.2","C4","consistency_bundle","multi_turn_group","hard","probe","","[{""branch_key"": ""p1"", ""content_template"": ""水在标准气压下多少摄氏度沸腾？"", ""speaker"": ""user"", ""turn_index"": 1}, {""branch_key"": ""p2"", ""content_template"": ""标准大气压下水的沸点是多少？"", ""speaker"": ""user"", ""turn_index"": 2}, {""branch_key"": ""p3"", ""content_template"": ""液态水在常规标准气压下的沸腾温度是多少摄氏度？"", ""speaker"": ""user"", ""turn_index"": 3}]","100","consistency_bundle","{""accepted_answers"": [""100""], ""session_mode"": ""isolated_turns""}","consistency","ready","True","1","90","rw-c4-002","ifeval-1001","Privateized C4/consistency_bundle item derived from IFEval.",""
"C4-003","QB-v1.2","C4","consistency_bundle","multi_turn_group","hard","probe","","[{""branch_key"": ""p1"", ""content_template"": ""哪种细胞负责运送氧气？"", ""speaker"": ""user"", ""turn_index"": 1}, {""branch_key"": ""p2"", ""content_template"": ""人体主要依靠哪类血细胞运输氧？"", ""speaker"": ""user"", ""turn_index"": 2}, {""branch_key"": ""p3"", ""content_template"": ""负责携带氧气到组织的主要细胞是什么？"", ""speaker"": ""user"", ""turn_index"": 3}]","red blood cells","consistency_bundle","{""accepted_answers"": [""red blood cells""], ""session_mode"": ""isolated_turns""}","consistency","ready","True","1","90","rw-c4-003","ifeval-1005","Privateized C4/consistency_bundle item derived from IFEval.",""
"C4-004","QB-v1.2","C4","consistency_bundle","multi_turn_group","hard","probe","","[{""branch_key"": ""p1"", ""content_template"": ""法国现在使用什么货币？"", ""speaker"": ""user"", ""turn_index"": 1}, {""branch_key"": ""p2"", ""content_template"": ""法国流通的官方货币是什么？"", ""speaker"": ""user"", ""turn_index"": 2}, {""branch_key"": ""p3"", ""content_template"": ""今天法国的法定货币名称是什么？"", ""speaker"": ""user"", ""turn_index"": 3}]","euro","consistency_bundle","{""accepted_answers"": [""euro""], ""session_mode"": ""isolated_turns""}","consistency","ready","True","1","90","rw-c4-004","ifeval-1012","Privateized C4/consistency_bundle item derived from IFEval.",""
"C4-005","QB-v1.2","C4","consistency_bundle","multi_turn_group","hard","probe","","[{""branch_key"": ""p1"", ""content_template"": ""二氧化碳的化学式是什么？"", ""speaker"": ""user"", ""turn_index"": 1}, {""branch_key"": ""p2"", ""content_template"": ""写出二氧化碳的化学式。"", ""speaker"": ""user"", ""turn_index"": 2}, {""branch_key"": ""p3"", ""content_template"": ""CO2 对应的是哪种常见气体的化学式？"", ""speaker"": ""user"", ""turn_index"": 3}]","CO2","consistency_bundle","{""accepted_answers"": [""CO2""], ""session_mode"": ""isolated_turns""}","consistency","ready","True","1","90","rw-c4-005","ifeval-1019","Privateized C4/consistency_bundle item derived from IFEval.",""
"C4-006","QB-v1.2","C4","consistency_bundle","multi_turn_group","hard","probe","","[{""branch_key"": ""p1"", ""content_template"": ""离太阳最近的行星是什么？"", ""speaker"": ""user"", ""turn_index"": 1}, {""branch_key"": ""p2"", ""content_template"": ""哪颗行星轨道最靠近太阳？"", ""speaker"": ""user"", ""turn_index"": 2}, {""branch_key"": ""p3"", ""content_template"": ""太阳系里最内侧的行星是哪颗？"", ""speaker"": ""user"", ""turn_index"": 3}]","Mercury","consistency_bundle","{""accepted_answers"": [""Mercury""], ""session_mode"": ""isolated_turns""}","consistency","ready","True","1","90","rw-c4-006","ifeval-102","Privateized C4/consistency_bundle item derived from IFEval.",""
"C4-007","QB-v1.2","C4","consistency_bundle","multi_turn_group","hard","probe","","[{""branch_key"": ""p1"", ""content_template"": ""Jane Austen 写了哪部著名作品？"", ""speaker"": ""user"", ""turn_index"": 1}, {""branch_key"": ""p2"", ""content_template"": ""《Pride and Prejudice》的作者是谁？"", ""speaker"": ""user"", ""turn_index"": 2}, {""branch_key"": ""p3"", ""content_template"": ""谁创作了《傲慢与偏见》？"", ""speaker"": ""user"", ""turn_index"": 3}]","Jane Austen","consistency_bundle","{""accepted_answers"": [""Jane Austen""], ""session_mode"": ""isolated_turns""}","consistency","ready","True","1","90","rw-c4-007","ifeval-1021","Privateized C4/consistency_bundle item derived from IFEval.",""
"C4-008","QB-v1.2","C4","consistency_bundle","multi_turn_group","hard","probe","","[{""branch_key"": ""p1"", ""content_template"": ""联合国总部在哪座城市？"", ""speaker"": ""user"", ""turn_index"": 1}, {""branch_key"": ""p2"", ""content_template"": ""哪座城市是联合国总部所在地？"", ""speaker"": ""user"", ""turn_index"": 2}, {""branch_key"": ""p3"", ""content_template"": ""联合国总部位于什么城市？"", ""speaker"": ""user"", ""turn_index"": 3}]","New York","consistency_bundle","{""accepted_answers"": [""New York""], ""session_mode"": ""isolated_turns""}","consistency","ready","True","1","90","rw-c4-008","ifeval-1040","Privateized C4/consistency_bundle item derived from IFEval.",""
"C4-009","QB-v1.2","C4","consistency_bundle","multi_turn_group","hard","probe","","[{""branch_key"": ""p1"", ""content_template"": ""地球上最大的海洋是什么？"", ""speaker"": ""user"", ""turn_index"": 1}, {""branch_key"": ""p2"", ""content_template"": ""面积最大的海洋是哪一个？"", ""speaker"": ""user"", ""turn_index"": 2}, {""branch_key"": ""p3"", ""content_template"": ""哪片海洋覆盖面积最大？"", ""speaker"": ""user"", ""turn_index"": 3}]","Pacific Ocean","consistency_bundle","{""accepted_answers"": [""Pacific Ocean""], ""session_mode"": ""isolated_turns""}","consistency","ready","True","1","90","rw-c4-009","ifeval-1051","Privateized C4/consistency_bundle item derived from IFEval.",""
"C4-010","QB-v1.2","C4","consistency_bundle","multi_turn_group","hard","probe","","[{""branch_key"": ""p1"", ""content_template"": ""1 千米等于多少米？"", ""speaker"": ""user"", ""turn_index"": 1}, {""branch_key"": ""p2"", ""content_template"": ""一公里有多少米？"", ""speaker"": ""user"", ""turn_index"": 2}, {""branch_key"": ""p3"", ""content_template"": ""把 1 km 换算成米是多少？"", ""speaker"": ""user"", ""turn_index"": 3}]","1000","consistency_bundle","{""accepted_answers"": [""1000""], ""session_mode"": ""isolated_turns""}","consistency","ready","True","1","90","rw-c4-010","ifeval-1069","Privateized C4/consistency_bundle item derived from IFEval.",""
