source_name,source_dataset,source_url,local_path,module_candidates,status,notes
APPS / LiveCodeBench,benchmark-curated/apps-livecodebench-coding,https://github.com/hendrycks/apps,/mnt/e/BaiduSyncdisk/项目学习/大模型能力漂移/LLM Evaluation/question_bank_workspace/normalized/apps_livecodebench_coding_candidates.jsonl,A2,curated_method_snapshot,"Curated high-difficulty coding source pool for QB-v1.1 synthesis and stateful data processing, inspired by APPS and LiveCodeBench."
BIG-Bench Hard / BBEH,benchmark-curated/bbh-bbeh-logic,https://github.com/suzgunmirac/BIG-Bench-Hard,/mnt/e/BaiduSyncdisk/项目学习/大模型能力漂移/LLM Evaluation/question_bank_workspace/normalized/bbh_bbeh_logic_candidates.jsonl,A6,curated_method_snapshot,"Curated logic-reasoning source pool for QB-v1.1, inspired by BIG-Bench Hard and BBEH task styles."
BigCodeBench / EvalPlus / SWE-bench Lite,benchmark-curated/bigcode-evalplus-swebench,https://github.com/bigcode-project/bigcodebench,/mnt/e/BaiduSyncdisk/项目学习/大模型能力漂移/LLM Evaluation/question_bank_workspace/normalized/bigcode_evalplus_swebench_candidates.jsonl,A2,curated_method_snapshot,"Curated high-difficulty coding source pool for QB-v1.1 long-code comprehension and patch reasoning, inspired by BigCodeBench, EvalPlus, HumanEval+, and SWE-bench Lite."
CNN/DailyMail,ccdv/cnn_dailymail,https://huggingface.co/datasets/ccdv/cnn_dailymail,/mnt/e/BaiduSyncdisk/项目学习/大模型能力漂移/LLM Evaluation/question_bank_workspace/raw_sources/cnn-dailymail,A4,complete_source_snapshot,A4 summarization pool normalized from the complete local validation assets across CNN and DailyMail publishers (13368 rows).
CNN/DailyMail-CNN-Subset,ccdv/cnn_dailymail,https://huggingface.co/datasets/ccdv/cnn_dailymail,/mnt/e/BaiduSyncdisk/项目学习/大模型能力漂移/LLM Evaluation/question_bank_workspace/raw_sources/cnn-dailymail,A4,complete_subset_snapshot,A4 summarization pool normalized from the complete CNN publisher slice of validation URLs currently materialized locally (1220 rows).
GSM8K,openai/gsm8k,https://huggingface.co/datasets/openai/gsm8k,/mnt/e/BaiduSyncdisk/项目学习/大模型能力漂移/LLM Evaluation/question_bank_workspace/raw_sources/parquet_cache/openai_gsm8k/train.parquet,A1,complete_source_snapshot,Public A1 math reasoning pool normalized from the full main/train parquet split (7473 rows).
HotpotQA,hotpotqa/hotpot_qa,https://huggingface.co/datasets/hotpotqa/hotpot_qa,/mnt/e/BaiduSyncdisk/项目学习/大模型能力漂移/LLM Evaluation/question_bank_workspace/raw_sources/hotpotqa/hotpot_dev_distractor_v1.json,A4,complete_source_snapshot,Public A4 multi-hop QA pool normalized from the local distractor validation JSON snapshot (7405 rows).
IFEval,google/IFEval,https://huggingface.co/datasets/google/IFEval,/mnt/e/BaiduSyncdisk/项目学习/大模型能力漂移/LLM Evaluation/question_bank_workspace/raw_sources/ifeval/IFEval.parquet,A3|C2|C3,complete_source_snapshot,Official public dataset normalized from the local parquet snapshot (541 rows).
JailbreakBench,JailbreakBench/JBB-Behaviors,https://huggingface.co/datasets/JailbreakBench/JBB-Behaviors,/mnt/e/BaiduSyncdisk/项目学习/大模型能力漂移/LLM Evaluation/question_bank_workspace/raw_sources/jailbreakbench/harmful-behaviors.csv,B1|B2,complete_source_snapshot,Official harmful behavior CSV normalized from the local file snapshot (100 rows).
LiveBench-Instruction,livebench/instruction_following,https://huggingface.co/datasets/livebench/instruction_following,/mnt/e/BaiduSyncdisk/项目学习/大模型能力漂移/LLM Evaluation/question_bank_workspace/raw_sources/parquet_cache/livebench_instruction_following/test.parquet,A3|C2,complete_source_snapshot,Dynamic recent-source instruction-following candidates normalized from the local parquet snapshot (400 rows).
LiveCodeBench,livecodebench/test_generation,https://huggingface.co/datasets/livecodebench/test_generation,/mnt/e/BaiduSyncdisk/项目学习/大模型能力漂移/LLM Evaluation/question_bank_workspace/raw_sources/parquet_cache/livecodebench_test_generation/test.parquet,A2,complete_source_snapshot,LiveCodeBench test_generation normalized from the local parquet snapshot (442 rows).
MMLU-Pro,TIGER-Lab/MMLU-Pro,https://huggingface.co/datasets/TIGER-Lab/MMLU-Pro,/mnt/e/BaiduSyncdisk/项目学习/大模型能力漂移/LLM Evaluation/question_bank_workspace/raw_sources/parquet_cache/tiger_lab_mmlu_pro/test.parquet,A5,complete_source_snapshot,Official dataset normalized from the local parquet snapshot (12032 rows).
OR-Bench,bench-llm/or-bench,https://huggingface.co/datasets/bench-llm/or-bench,/mnt/e/BaiduSyncdisk/项目学习/大模型能力漂移/LLM Evaluation/question_bank_workspace/raw_sources/or-bench/or-bench-hard-1k.csv,B3,complete_source_snapshot,OR-Bench hard pool normalized from the local CSV snapshot (1319 rows).
SORRY-Bench,AIM-Harvard/sorrybench,https://huggingface.co/datasets/AIM-Harvard/sorrybench,/mnt/e/BaiduSyncdisk/项目学习/大模型能力漂移/LLM Evaluation/question_bank_workspace/raw_sources/parquet_cache/aim_harvard_sorrybench/train.parquet,B1,complete_source_snapshot,Public mirror of SORRY-Bench normalized from the full train parquet split; 9446 usable rows remain after filtering 4 empty-prompt variants. Used because the official 202406 release is gated.
SQuAD,rajpurkar/squad,https://huggingface.co/datasets/rajpurkar/squad,/mnt/e/BaiduSyncdisk/项目学习/大模型能力漂移/LLM Evaluation/question_bank_workspace/raw_sources/parquet_cache/rajpurkar_squad/validation.parquet,A4,complete_source_snapshot,Public A4 reading-comprehension pool normalized from the full plain_text/validation parquet split (10570 rows).
