"question_id","version","module","subtype","item_format","difficulty","drift_role","prompt_template","turn_script","ground_truth","scoring_method","scoring_params","module_quota_tag","qa_status","rotation_replaceable","rotation_priority","rotation_expected_lifespan_days","provenance_rewrite_ids","provenance_source_candidate_ids","provenance_transformation_summary","notes"
"A4-001","QB-v1.2","A4","reading_comprehension","single_turn","easy","capability","Context:
A small harbor town publishes a weekly bulletin. This week it announced that the ferry route to Pine Island will leave at 08:10, 12:40, and 18:20. The local museum extends its Saturday opening by one hour, from 09:00-17:00 to 09:00-18:00.

Question: What time is the final ferry departure?","","18:20","span_em_f1","{""all_answers"": [""18:20""]}","reading","ready","True","1","90","rw-a4-001","cnn-dailymail-a4942dd663020ca54575471657a0af38d82897d6","Privateized A4/reading_comprehension item derived from CNN/DailyMail.",""
"A4-002","QB-v1.2","A4","reading_comprehension","single_turn","easy","capability","Context:
The monitoring team rotated on-call duties every Monday. Mei covered week 1, Arjun week 2, and Sofia week 3. A note at the bottom says the coffee machine was serviced on Tuesday.

Question: Who covered week 2?","","Arjun","span_em_f1","{""all_answers"": [""Arjun""]}","reading","ready","True","1","90","rw-a4-002","cnn-dailymail-4157bc4da185971e2742f349d69a037343bc0d95","Privateized A4/reading_comprehension item derived from CNN/DailyMail.",""
"A4-003","QB-v1.2","A4","reading_comprehension","single_turn","easy","capability","Context:
An archive lists three storage rooms. Room A holds maps, Room B holds audio recordings, and Room C holds photography negatives. The renovation notice says only Room B will close next month.

Question: Which room stores audio recordings?","","Room B","span_em_f1","{""all_answers"": [""Room B""]}","reading","ready","True","1","90","rw-a4-003","cnn-dailymail-60736693e3b1b32d14337a317190c6606e879a85","Privateized A4/reading_comprehension item derived from CNN/DailyMail.",""
"A4-004","QB-v1.2","A4","reading_comprehension","single_turn","easy","capability","Context:
The city trialed smart lights on Oak Street, River Avenue, and North Plaza. Oak Street reduced energy use by 12%, River Avenue by 9%, and North Plaza by 15%.

Question: Which location had the largest reduction?","","North Plaza","span_em_f1","{""all_answers"": [""North Plaza""]}","reading","ready","True","1","90","rw-a4-004","cnn-dailymail-8cdf9cc3ed0276b7a7944cc18ba459355b5984ad","Privateized A4/reading_comprehension item derived from CNN/DailyMail.",""
"A4-005","QB-v1.2","A4","reading_comprehension","single_turn","easy","capability","Context:
A student team built sensors for temperature, humidity, and vibration. The vibration sensor needed recalibration after shipping, but the others passed immediately.

Question: Which sensor needed recalibration?","","vibration sensor","span_em_f1","{""all_answers"": [""vibration sensor""]}","reading","ready","True","1","90","rw-a4-005","cnn-dailymail-2e6613d531843515bf5401286cc3e45c4df530d2","Privateized A4/reading_comprehension item derived from CNN/DailyMail.",""
"A4-006","QB-v1.2","A4","reading_comprehension","single_turn","easy","capability","Context:
The field report says plot 1 received 14 mm of rain, plot 2 received 18 mm, and plot 3 received 16 mm. The tractor battery was replaced the same afternoon.

Question: How much rain did plot 2 receive?","","18 mm","span_em_f1","{""all_answers"": [""18 mm""]}","reading","ready","True","1","90","rw-a4-006","cnn-dailymail-fbc5ac3a3a7bb6c4d628cfbeef92b67bb18562f9","Privateized A4/reading_comprehension item derived from CNN/DailyMail.",""
"A4-007","QB-v1.2","A4","reading_comprehension","single_turn","easy","capability","Context:
The workshop schedule lists registration at 09:15, keynote at 10:00, and panel discussion at 14:00. Lunch is served at noon.

Question: When does the keynote begin?","","10:00","span_em_f1","{""all_answers"": [""10:00""]}","reading","ready","True","1","90","rw-a4-007","cnn-dailymail-d093aa07380f75e63265793fcaa171772a6f4616","Privateized A4/reading_comprehension item derived from CNN/DailyMail.",""
"A4-008","QB-v1.2","A4","reading_comprehension","single_turn","easy","capability","Context:
The library budget reserves 40% for digital access, 35% for staffing, and 25% for events. A separate note mentions the lobby plants were watered.

Question: What share is reserved for staffing?","","35%","span_em_f1","{""all_answers"": [""35%""]}","reading","ready","True","1","90","rw-a4-008","cnn-dailymail-0485e4f199828cd03857391cbe573142193ca953","Privateized A4/reading_comprehension item derived from CNN/DailyMail.",""
"A4-009","QB-v1.2","A4","reading_comprehension","single_turn","easy","capability","Context:
A biology lab stores samples in freezer A at -20C, freezer B at -80C, and refrigerator C at 4C. The emergency contact sheet hangs on the door.

Question: Which freezer runs at -80C?","","freezer B","span_em_f1","{""all_answers"": [""freezer B""]}","reading","ready","True","1","90","rw-a4-009","cnn-dailymail-c6df0bbd0b5eaa67e1f2b70892bf0a5dfb761895","Privateized A4/reading_comprehension item derived from CNN/DailyMail.",""
"A4-010","QB-v1.2","A4","reading_comprehension","single_turn","easy","capability","Context:
The memo says the red team owns API alerts, the blue team owns database alerts, and the green team owns deployment alerts.

Question: Which team owns deployment alerts?","","green team","span_em_f1","{""all_answers"": [""green team""]}","reading","ready","True","1","90","rw-a4-010","cnn-dailymail-4a323dd3a1be975d93e941361082937cd2aafc88","Privateized A4/reading_comprehension item derived from CNN/DailyMail.",""
