"question_id","version","module","subtype","item_format","difficulty","drift_role","prompt_template","turn_script","ground_truth","scoring_method","scoring_params","module_quota_tag","qa_status","rotation_replaceable","rotation_priority","rotation_expected_lifespan_days","provenance_rewrite_ids","provenance_source_candidate_ids","provenance_transformation_summary","notes"
"A5-001","QB-v1.2","A5","knowledge_mcq","single_turn","medium","capability","Which planet in the Solar System has the largest number of known moons listed here?

选项：
A. Earth
B. Mars
C. Jupiter
D. Venus
E. Mercury
F. Pluto

请简要说明理由，并在最后一行输出 `答案：[字母]`。","","C","em","{""options"": [""A. Earth"", ""B. Mars"", ""C. Jupiter"", ""D. Venus"", ""E. Mercury"", ""F. Pluto""]}","stem","ready","True","1","90","rw-a5-001","mmlu-pro-70","Privateized A5/knowledge_mcq item derived from MMLU-Pro.",""
"A5-002","QB-v1.2","A5","knowledge_mcq","single_turn","medium","capability","Which blood cells are primarily responsible for carrying oxygen?

选项：
A. Platelets
B. Red blood cells
C. Neutrophils
D. Plasma cells
E. Basophils
F. Lymph nodes

请简要说明理由，并在最后一行输出 `答案：[字母]`。","","B","em","{""options"": [""A. Platelets"", ""B. Red blood cells"", ""C. Neutrophils"", ""D. Plasma cells"", ""E. Basophils"", ""F. Lymph nodes""]}","stem","ready","True","1","90","rw-a5-002","mmlu-pro-71","Privateized A5/knowledge_mcq item derived from MMLU-Pro.",""
"A5-003","QB-v1.2","A5","knowledge_mcq","single_turn","medium","capability","Which quantity is measured in ohms?

选项：
A. Electric current
B. Power
C. Resistance
D. Voltage
E. Charge
F. Frequency

请简要说明理由，并在最后一行输出 `答案：[字母]`。","","C","em","{""options"": [""A. Electric current"", ""B. Power"", ""C. Resistance"", ""D. Voltage"", ""E. Charge"", ""F. Frequency""]}","stem","ready","True","1","90","rw-a5-003","mmlu-pro-72","Privateized A5/knowledge_mcq item derived from MMLU-Pro.",""
"A5-004","QB-v1.2","A5","knowledge_mcq","single_turn","medium","capability","What is the derivative of x^2 with respect to x?

选项：
A. x
B. 2x
C. x^2
D. 2
E. 1/x
F. 0

请简要说明理由，并在最后一行输出 `答案：[字母]`。","","B","em","{""options"": [""A. x"", ""B. 2x"", ""C. x^2"", ""D. 2"", ""E. 1/x"", ""F. 0""]}","stem","ready","True","1","90","rw-a5-004","mmlu-pro-73","Privateized A5/knowledge_mcq item derived from MMLU-Pro.",""
"A5-005","QB-v1.2","A5","knowledge_mcq","single_turn","medium","capability","Which gas is most abundant in Earth's atmosphere?

选项：
A. Oxygen
B. Carbon dioxide
C. Nitrogen
D. Argon
E. Hydrogen
F. Helium

请简要说明理由，并在最后一行输出 `答案：[字母]`。","","C","em","{""options"": [""A. Oxygen"", ""B. Carbon dioxide"", ""C. Nitrogen"", ""D. Argon"", ""E. Hydrogen"", ""F. Helium""]}","stem","ready","True","1","90","rw-a5-005","mmlu-pro-74","Privateized A5/knowledge_mcq item derived from MMLU-Pro.",""
"A5-006","QB-v1.2","A5","knowledge_mcq","single_turn","medium","capability","Which organelle is the main site of ATP production in eukaryotic cells?

选项：
A. Nucleus
B. Ribosome
C. Golgi apparatus
D. Mitochondrion
E. Lysosome
F. Vacuole

请简要说明理由，并在最后一行输出 `答案：[字母]`。","","D","em","{""options"": [""A. Nucleus"", ""B. Ribosome"", ""C. Golgi apparatus"", ""D. Mitochondrion"", ""E. Lysosome"", ""F. Vacuole""]}","stem","ready","True","1","90","rw-a5-006","mmlu-pro-75","Privateized A5/knowledge_mcq item derived from MMLU-Pro.",""
"A5-007","QB-v1.2","A5","knowledge_mcq","single_turn","medium","capability","Which scale is used to measure earthquake magnitude in many modern reports?

选项：
A. Beaufort scale
B. Richter-style magnitude scale
C. Mohs scale
D. Kelvin scale
E. pH scale
F. Decibel scale

请简要说明理由，并在最后一行输出 `答案：[字母]`。","","B","em","{""options"": [""A. Beaufort scale"", ""B. Richter-style magnitude scale"", ""C. Mohs scale"", ""D. Kelvin scale"", ""E. pH scale"", ""F. Decibel scale""]}","stem","ready","True","1","90","rw-a5-007","mmlu-pro-76","Privateized A5/knowledge_mcq item derived from MMLU-Pro.",""
"A5-008","QB-v1.2","A5","knowledge_mcq","single_turn","medium","capability","What is the chemical symbol for sodium?

选项：
A. So
B. Sd
C. Na
D. S
E. N
F. K

请简要说明理由，并在最后一行输出 `答案：[字母]`。","","C","em","{""options"": [""A. So"", ""B. Sd"", ""C. Na"", ""D. S"", ""E. N"", ""F. K""]}","stem","ready","True","1","90","rw-a5-008","mmlu-pro-77","Privateized A5/knowledge_mcq item derived from MMLU-Pro.",""
"A5-009","QB-v1.2","A5","knowledge_mcq","single_turn","medium","capability","Which process converts liquid water into vapor below the boiling point?

选项：
A. Condensation
B. Sublimation
C. Evaporation
D. Deposition
E. Precipitation
F. Filtration

请简要说明理由，并在最后一行输出 `答案：[字母]`。","","C","em","{""options"": [""A. Condensation"", ""B. Sublimation"", ""C. Evaporation"", ""D. Deposition"", ""E. Precipitation"", ""F. Filtration""]}","stem","ready","True","1","90","rw-a5-009","mmlu-pro-78","Privateized A5/knowledge_mcq item derived from MMLU-Pro.",""
"A5-010","QB-v1.2","A5","knowledge_mcq","single_turn","medium","capability","Which number is a prime number?

选项：
A. 21
B. 39
C. 51
D. 53
E. 57
F. 63

请简要说明理由，并在最后一行输出 `答案：[字母]`。","","D","em","{""options"": [""A. 21"", ""B. 39"", ""C. 51"", ""D. 53"", ""E. 57"", ""F. 63""]}","stem","ready","True","1","90","rw-a5-010","mmlu-pro-79","Privateized A5/knowledge_mcq item derived from MMLU-Pro.",""
