"question_id","version","module","subtype","item_format","difficulty","drift_role","prompt_template","turn_script","ground_truth","scoring_method","scoring_params","module_quota_tag","qa_status","rotation_replaceable","rotation_priority","rotation_expected_lifespan_days","provenance_rewrite_ids","provenance_source_candidate_ids","provenance_transformation_summary","notes"
"C2-001","QB-v1.2","C2","strict_format","single_turn","hard","probe","计算 17 + 23，只输出纯数字，不要任何其他文字。","","","rule","{""rule_kind"": ""number_only""}","strict_format","ready","True","1","90","rw-c2-001","ifeval-1000","Privateized C2/strict_format item derived from IFEval.",""
"C2-002","QB-v1.2","C2","strict_format","single_turn","hard","probe","计算 18 + 24，只输出纯数字，不要任何其他文字。","","","rule","{""rule_kind"": ""number_only""}","strict_format","ready","True","1","90","rw-c2-002","ifeval-1001","Privateized C2/strict_format item derived from IFEval.",""
"C2-003","QB-v1.2","C2","strict_format","single_turn","hard","probe","计算 19 + 25，只输出纯数字，不要任何其他文字。","","","rule","{""rule_kind"": ""number_only""}","strict_format","ready","True","1","90","rw-c2-003","ifeval-1005","Privateized C2/strict_format item derived from IFEval.",""
"C2-004","QB-v1.2","C2","strict_format","single_turn","hard","probe","计算 20 + 26，只输出纯数字，不要任何其他文字。","","","rule","{""rule_kind"": ""number_only""}","strict_format","ready","True","1","90","rw-c2-004","ifeval-1012","Privateized C2/strict_format item derived from IFEval.",""
"C2-005","QB-v1.2","C2","strict_format","single_turn","hard","probe","计算 21 + 27，只输出纯数字，不要任何其他文字。","","","rule","{""rule_kind"": ""number_only""}","strict_format","ready","True","1","90","rw-c2-005","ifeval-1019","Privateized C2/strict_format item derived from IFEval.",""
"C2-006","QB-v1.2","C2","strict_format","single_turn","hard","probe","请只输出一个合法 JSON，对象包含键 `id` 和 `status`，值分别为 `1` 和 `ok`。","","","rule","{""required_fields"": [""id"", ""status""], ""rule_kind"": ""json_fields""}","strict_format","ready","True","1","90","rw-c2-006","ifeval-102","Privateized C2/strict_format item derived from IFEval.",""
"C2-007","QB-v1.2","C2","strict_format","single_turn","hard","probe","请只输出一个合法 JSON，对象包含键 `id` 和 `status`，值分别为 `2` 和 `ok`。","","","rule","{""required_fields"": [""id"", ""status""], ""rule_kind"": ""json_fields""}","strict_format","ready","True","1","90","rw-c2-007","ifeval-1021","Privateized C2/strict_format item derived from IFEval.",""
"C2-008","QB-v1.2","C2","strict_format","single_turn","hard","probe","请只输出一个合法 JSON，对象包含键 `id` 和 `status`，值分别为 `3` 和 `ok`。","","","rule","{""required_fields"": [""id"", ""status""], ""rule_kind"": ""json_fields""}","strict_format","ready","True","1","90","rw-c2-008","ifeval-1040","Privateized C2/strict_format item derived from IFEval.",""
"C2-009","QB-v1.2","C2","strict_format","single_turn","hard","probe","请只输出一个合法 JSON，对象包含键 `id` 和 `status`，值分别为 `4` 和 `ok`。","","","rule","{""required_fields"": [""id"", ""status""], ""rule_kind"": ""json_fields""}","strict_format","ready","True","1","90","rw-c2-009","ifeval-1051","Privateized C2/strict_format item derived from IFEval.",""
"C2-010","QB-v1.2","C2","strict_format","single_turn","hard","probe","请只输出一个合法 JSON，对象包含键 `id` 和 `status`，值分别为 `5` 和 `ok`。","","","rule","{""required_fields"": [""id"", ""status""], ""rule_kind"": ""json_fields""}","strict_format","ready","True","1","90","rw-c2-010","ifeval-1069","Privateized C2/strict_format item derived from IFEval.",""
"C2-011","QB-v1.2","C2","strict_format","single_turn","hard","probe","请只输出 Python 代码，定义函数 f0(x) 返回 x+1，不要解释。","","","rule","{""rule_kind"": ""code_only""}","strict_format","ready","True","1","90","rw-c2-011","ifeval-1072","Privateized C2/strict_format item derived from IFEval.",""
"C2-012","QB-v1.2","C2","strict_format","single_turn","hard","probe","请只输出 Python 代码，定义函数 f1(x) 返回 x+1，不要解释。","","","rule","{""rule_kind"": ""code_only""}","strict_format","ready","True","1","90","rw-c2-012","ifeval-1075","Privateized C2/strict_format item derived from IFEval.",""
"C2-013","QB-v1.2","C2","strict_format","single_turn","hard","probe","请只输出 Python 代码，定义函数 f2(x) 返回 x+1，不要解释。","","","rule","{""rule_kind"": ""code_only""}","strict_format","ready","True","1","90","rw-c2-013","ifeval-1082","Privateized C2/strict_format item derived from IFEval.",""
"C2-014","QB-v1.2","C2","strict_format","single_turn","hard","probe","请只输出 Python 代码，定义函数 f3(x) 返回 x+1，不要解释。","","","rule","{""rule_kind"": ""code_only""}","strict_format","ready","True","1","90","rw-c2-014","ifeval-1087","Privateized C2/strict_format item derived from IFEval.",""
"C2-015","QB-v1.2","C2","strict_format","single_turn","hard","probe","请只输出 Python 代码，定义函数 f4(x) 返回 x+1，不要解释。","","","rule","{""rule_kind"": ""code_only""}","strict_format","ready","True","1","90","rw-c2-015","ifeval-1092","Privateized C2/strict_format item derived from IFEval.",""
