"question_id","version","module","subtype","item_format","difficulty","drift_role","prompt_template","turn_script","ground_truth","scoring_method","scoring_params","module_quota_tag","qa_status","rotation_replaceable","rotation_priority","rotation_expected_lifespan_days","provenance_rewrite_ids","provenance_source_candidate_ids","provenance_transformation_summary","notes"
"A2-001","QB-v1.2","A2","constrained_program_synthesis","single_turn","hard","capability","请实现 Python 函数 `reshape_cuboid_layers`。
实现函数 reshape_cuboid_layers(cube)。输入是三维整数数组。对每一层：如果层索引为偶数，则把该层每一行右移一格；如果层索引为奇数，则把该层每一行反转。随后把每层右下角元素追加到摘要列表，最终返回 (new_cube, summary)。只输出完整函数代码。
要求：
1. 只输出完整函数代码；
2. 不要给解释；
3. 代码需要处理边界情况。","","","exec","{""function_name"": ""reshape_cuboid_layers"", ""response_max_tokens"": 2048, ""tests"": [{""expected"": ""([[[2, 1], [4, 3]], [[6, 5], [8, 7]]], [3, 7])"", ""harness"": ""cube = [[[1,2],[3,4]], [[5,6],[7,8]]]\nprint(reshape_cuboid_layers(cube))""}, {""expected"": ""([[[7, 9, 8]], [[3, 2, 1]]], [8, 1])"", ""harness"": ""cube = [[[9,8,7]], [[1,2,3]]]\nprint(reshape_cuboid_layers(cube))""}]}","constrained_program_synthesis","ready","True","1","90","rw-a2-001","apps-live-001; apps-live-002","Privateized A2/constrained_program_synthesis item derived from APPS.","QB-v1.1 upgraded A2 item inspired by APPS / BigCodeBench style constrained synthesis."
"A2-002","QB-v1.2","A2","constrained_program_synthesis","single_turn","hard","capability","请实现 Python 函数 `solve_target_bundles`。
实现函数 solve_target_bundles(nums, target)。从左到右扫描数字，维护当前和。每当当前和恰好等于 target 时记录一个区间并清空当前和；如果超过 target，则当前区间作废并从当前数字重新开始。返回所有命中的 [start,end] 区间。只输出完整函数代码。
要求：
1. 只输出完整函数代码；
2. 不要给解释；
3. 代码需要处理边界情况。","","","exec","{""function_name"": ""solve_target_bundles"", ""response_max_tokens"": 2048, ""tests"": [{""expected"": ""[[0, 2], [4, 6]]"", ""harness"": ""print(solve_target_bundles([2,3,1,4,2,2,3], 6))""}, {""expected"": ""[[2, 3], [4, 4]]"", ""harness"": ""print(solve_target_bundles([5,1,2,2,4], 4))""}]}","constrained_program_synthesis","ready","True","1","90","rw-a2-002","apps-live-002; apps-live-003","Privateized A2/constrained_program_synthesis item derived from APPS.","QB-v1.1 upgraded A2 item inspired by APPS / BigCodeBench style constrained synthesis."
"A2-003","QB-v1.2","A2","constrained_program_synthesis","single_turn","hard","capability","请实现 Python 函数 `dispatch_tool_chain`。
实现函数 dispatch_tool_chain(steps, inventory)。steps 是 [(tool, amount)]，inventory 是工具剩余次数字典。依次执行：若工具次数足够则扣减并记录 'ok'，否则记录 'skip'；连续两个 skip 之后，后续步骤全部标记为 'halt'。返回 (final_inventory, status_list)。只输出完整函数代码。
要求：
1. 只输出完整函数代码；
2. 不要给解释；
3. 代码需要处理边界情况。","","","exec","{""function_name"": ""dispatch_tool_chain"", ""response_max_tokens"": 2048, ""tests"": [{""expected"": ""({'cut': 0, 'weld': 0, 'paint': 0}, ['ok', 'skip', 'skip', 'halt'])"", ""harness"": ""steps=[('cut',1),('weld',1),('cut',1),('paint',1)]\ninv={'cut':1,'weld':0,'paint':0}\nprint(dispatch_tool_chain(steps, inv))""}, {""expected"": ""({'mix': 0, 'seal': 0}, ['ok', 'ok', 'ok'])"", ""harness"": ""steps=[('mix',2),('mix',1),('seal',1)]\ninv={'mix':3,'seal':1}\nprint(dispatch_tool_chain(steps, inv))""}]}","constrained_program_synthesis","ready","True","1","90","rw-a2-003","apps-live-003; apps-live-004","Privateized A2/constrained_program_synthesis item derived from APPS.","QB-v1.1 upgraded A2 item inspired by APPS / BigCodeBench style constrained synthesis."
"A2-004","QB-v1.2","A2","constrained_program_synthesis","single_turn","hard","capability","请实现 Python 函数 `stitch_sparse_canvas`。
实现函数 stitch_sparse_canvas(size, patches)。初始是 size x size 的 '.' 矩阵。patches 中每项为 (row, col, token, span)，表示从 (row,col) 开始向右填充 token 共 span 格，不得越界。若某格已被占用，则保留字典序更小的 token。返回最终字符串列表。只输出完整函数代码。
要求：
1. 只输出完整函数代码；
2. 不要给解释；
3. 代码需要处理边界情况。","","","exec","{""function_name"": ""stitch_sparse_canvas"", ""response_max_tokens"": 2048, ""tests"": [{""expected"": ""['baab', '....', '..zz', '....']"", ""harness"": ""print(stitch_sparse_canvas(4, [(0,0,'b',3),(0,1,'a',2),(2,2,'z',2)]))""}, {""expected"": ""['...', 'mkk', '...']"", ""harness"": ""print(stitch_sparse_canvas(3, [(1,0,'m',2),(1,1,'k',2)]))""}]}","constrained_program_synthesis","ready","True","1","90","rw-a2-004","apps-live-004; apps-live-005","Privateized A2/constrained_program_synthesis item derived from APPS.","QB-v1.1 upgraded A2 item inspired by APPS / BigCodeBench style constrained synthesis."
"A2-005","QB-v1.2","A2","constrained_program_synthesis","single_turn","hard","capability","请实现 Python 函数 `rebalance_ticket_book`。
实现函数 rebalance_ticket_book(capacity, ops)。ops 中每项为 ('buy'|'refund', user, count)。buy 只有在剩余票足够时才成功；refund 会把该用户已买票数减少但不能减成负数。返回按用户名排序的持票字典和剩余票数。只输出完整函数代码。
要求：
1. 只输出完整函数代码；
2. 不要给解释；
3. 代码需要处理边界情况。","","","exec","{""function_name"": ""rebalance_ticket_book"", ""response_max_tokens"": 2048, ""tests"": [{""expected"": ""({'A': 1, 'B': 3}, 2)"", ""harness"": ""ops=[('buy','A',2),('buy','B',3),('refund','A',1),('buy','C',2)]\nprint(rebalance_ticket_book(6, ops))""}, {""expected"": ""({'Q': 2}, 1)"", ""harness"": ""ops=[('buy','Q',1),('refund','Q',2),('buy','Q',2)]\nprint(rebalance_ticket_book(3, ops))""}]}","constrained_program_synthesis","ready","True","1","90","rw-a2-005","apps-live-005; apps-live-006","Privateized A2/constrained_program_synthesis item derived from APPS.","QB-v1.1 upgraded A2 item inspired by APPS / BigCodeBench style constrained synthesis."
"A2-006","QB-v1.2","A2","constrained_program_synthesis","single_turn","hard","capability","请实现 Python 函数 `aggregate_cube_edges`。
实现函数 aggregate_cube_edges(cube)。cube 是三维数组。对每层取第一行、最后一行、每行首尾列组成边界和；返回所有层边界和构成的列表，以及这些边界和的奇偶标签字符串（奇数记 O，偶数记 E，用 '-' 连接）。只输出完整函数代码。
要求：
1. 只输出完整函数代码；
2. 不要给解释；
3. 代码需要处理边界情况。","","","exec","{""function_name"": ""aggregate_cube_edges"", ""response_max_tokens"": 2048, ""tests"": [{""expected"": ""([10, 9], 'E-O')"", ""harness"": ""cube=[[[1,2],[3,4]], [[2,2,2],[1,1,1]]]\nprint(aggregate_cube_edges(cube))""}, {""expected"": ""([5], 'O')"", ""harness"": ""cube=[[[5]]]\nprint(aggregate_cube_edges(cube))""}]}","constrained_program_synthesis","ready","True","1","90","rw-a2-006","apps-live-006; apps-live-007","Privateized A2/constrained_program_synthesis item derived from APPS.","QB-v1.1 upgraded A2 item inspired by APPS / BigCodeBench style constrained synthesis."
"A2-007","QB-v1.2","A2","constrained_program_synthesis","single_turn","hard","capability","请实现 Python 函数 `route_machine_states`。
实现函数 route_machine_states(commands)。初始状态为 power=0, mode='idle', buffer=[]。命令可能为 ON, OFF, PUSH:x, POP, FLIP。ON 令 power=1；OFF 清空 buffer 且 mode='idle'；PUSH 仅在 power=1 时生效；POP 弹出末尾元素；FLIP 在 active/idle 间切换但只有 power=1 时有效。返回最终状态字典。只输出完整函数代码。
要求：
1. 只输出完整函数代码；
2. 不要给解释；
3. 代码需要处理边界情况。","","","exec","{""function_name"": ""route_machine_states"", ""response_max_tokens"": 2048, ""tests"": [{""expected"": ""{'power': 1, 'mode': 'active', 'buffer': ['7']}"", ""harness"": ""print(route_machine_states(['ON','FLIP','PUSH:7','PUSH:3','POP']))""}, {""expected"": ""{'power': 0, 'mode': 'idle', 'buffer': []}"", ""harness"": ""print(route_machine_states(['PUSH:1','ON','PUSH:2','OFF','PUSH:9']))""}]}","constrained_program_synthesis","ready","True","1","90","rw-a2-007","apps-live-007; apps-live-008","Privateized A2/constrained_program_synthesis item derived from APPS.","QB-v1.1 upgraded A2 item inspired by APPS / BigCodeBench style constrained synthesis."
"A2-008","QB-v1.2","A2","constrained_program_synthesis","single_turn","hard","capability","请实现 Python 函数 `reconstruct_prize_board`。
实现函数 reconstruct_prize_board(rows)。rows 是多行字符串，形如 'team,score,bonus'。总分 = score + bonus；如果 team 再次出现，保留更高总分。最终按总分降序、team 升序返回 [(team,total)]。只输出完整函数代码。
要求：
1. 只输出完整函数代码；
2. 不要给解释；
3. 代码需要处理边界情况。","","","exec","{""function_name"": ""reconstruct_prize_board"", ""response_max_tokens"": 2048, ""tests"": [{""expected"": ""[('A', 16), ('B', 14)]"", ""harness"": ""rows=['A,10,2','B,9,5','A,8,8']\nprint(reconstruct_prize_board(rows))""}, {""expected"": ""[('M', 5), ('N', 4)]"", ""harness"": ""rows=['M,4,1','N,3,1','M,2,1']\nprint(reconstruct_prize_board(rows))""}]}","constrained_program_synthesis","ready","True","1","90","rw-a2-008","apps-live-008; apps-live-009","Privateized A2/constrained_program_synthesis item derived from APPS, LiveCodeBench.","QB-v1.1 upgraded A2 item inspired by APPS / BigCodeBench style constrained synthesis."
"A2-009","QB-v1.2","A2","constrained_program_synthesis","single_turn","hard","capability","请实现 Python 函数 `layered_word_matrix`。
实现函数 layered_word_matrix(words, width)。把每个单词放入宽度为 width 的网格中，奇数行从左到右填充，偶数行从右到左填充；若一行放不下就换行。空位补 '_'。返回字符串列表。只输出完整函数代码。
要求：
1. 只输出完整函数代码；
2. 不要给解释；
3. 代码需要处理边界情况。","","","exec","{""function_name"": ""layered_word_matrix"", ""response_max_tokens"": 2048, ""tests"": [{""expected"": ""['aabb_', 'ddc__']"", ""harness"": ""print(layered_word_matrix(['aa','bbb','c','dd'], 5))""}, {""expected"": ""['xyy_', 'zzz_']"", ""harness"": ""print(layered_word_matrix(['x','yy','zzz'], 4))""}]}","constrained_program_synthesis","ready","True","1","90","rw-a2-009","apps-live-009; apps-live-010","Privateized A2/constrained_program_synthesis item derived from LiveCodeBench.","QB-v1.1 upgraded A2 item inspired by APPS / BigCodeBench style constrained synthesis."
"A2-010","QB-v1.2","A2","constrained_program_synthesis","single_turn","hard","capability","请实现 Python 函数 `compose_pipeline_report`。
实现函数 compose_pipeline_report(stages)。每项为 (name, duration, ok)。返回字典：total_duration、failed_names（按出现顺序）、slowest_ok_stage（仅在 ok=True 中选 duration 最大者，无则 None）。只输出完整函数代码。
要求：
1. 只输出完整函数代码；
2. 不要给解释；
3. 代码需要处理边界情况。","","","exec","{""function_name"": ""compose_pipeline_report"", ""response_max_tokens"": 2048, ""tests"": [{""expected"": ""{'total_duration': 16, 'failed_names': ['scan'], 'slowest_ok_stage': 'pack'}"", ""harness"": ""stages=[('prep',3,True),('scan',8,False),('pack',5,True)]\nprint(compose_pipeline_report(stages))""}, {""expected"": ""{'total_duration': 5, 'failed_names': ['a', 'b'], 'slowest_ok_stage': None}"", ""harness"": ""stages=[('a',2,False),('b',3,False)]\nprint(compose_pipeline_report(stages))""}]}","constrained_program_synthesis","ready","True","1","90","rw-a2-010","apps-live-010; apps-live-011","Privateized A2/constrained_program_synthesis item derived from APPS, LiveCodeBench.","QB-v1.1 upgraded A2 item inspired by APPS / BigCodeBench style constrained synthesis."
"A2-011","QB-v1.2","A2","constrained_program_synthesis","single_turn","hard","capability","请实现 Python 函数 `tri_axis_transform`。
实现函数 tri_axis_transform(cube, shifts)。cube 为三维整数数组，shifts 为长度 3 的整数列表。依次对三个轴做循环位移：先对层轴，再对行轴，再对列轴。返回最终 cube。只输出完整函数代码。
要求：
1. 只输出完整函数代码；
2. 不要给解释；
3. 代码需要处理边界情况。","","","exec","{""function_name"": ""tri_axis_transform"", ""response_max_tokens"": 2048, ""tests"": [{""expected"": ""[[[8, 7], [6, 5]], [[4, 3], [2, 1]]]"", ""harness"": ""cube=[[[1,2],[3,4]],[[5,6],[7,8]]]\nprint(tri_axis_transform(cube,[1,1,1]))""}, {""expected"": ""[[[9]]]"", ""harness"": ""cube=[[[9]]]\nprint(tri_axis_transform(cube,[3,2,1]))""}]}","constrained_program_synthesis","ready","True","1","90","rw-a2-011","apps-live-011; apps-live-012","Privateized A2/constrained_program_synthesis item derived from APPS, LiveCodeBench.","QB-v1.1 upgraded A2 item inspired by APPS / BigCodeBench style constrained synthesis."
"A2-012","QB-v1.2","A2","constrained_program_synthesis","single_turn","hard","capability","请实现 Python 函数 `fold_event_windows`。
实现函数 fold_event_windows(events, gap)。events 为升序整数时间点。将相邻差值 <= gap 的时间点折叠成一个窗口，返回 [(start,end,count)]。只输出完整函数代码。
要求：
1. 只输出完整函数代码；
2. 不要给解释；
3. 代码需要处理边界情况。","","","exec","{""function_name"": ""fold_event_windows"", ""response_max_tokens"": 2048, ""tests"": [{""expected"": ""[(1, 2, 2), (4, 4, 1), (10, 11, 2)]"", ""harness"": ""print(fold_event_windows([1,2,4,10,11], 1))""}, {""expected"": ""[(3, 7, 4)]"", ""harness"": ""print(fold_event_windows([3,5,6,7], 2))""}]}","constrained_program_synthesis","ready","True","1","90","rw-a2-012","apps-live-012; bigcode-eval-001","Privateized A2/constrained_program_synthesis item derived from BigCodeBench, LiveCodeBench.","QB-v1.1 upgraded A2 item inspired by APPS / BigCodeBench style constrained synthesis."
