"question_id","version","module","subtype","item_format","difficulty","drift_role","prompt_template","turn_script","ground_truth","scoring_method","scoring_params","module_quota_tag","qa_status","rotation_replaceable","rotation_priority","rotation_expected_lifespan_days","provenance_rewrite_ids","provenance_source_candidate_ids","provenance_transformation_summary","notes"
"C1-001","QB-v1.2","C1","math_boundary","single_turn","hard","probe","判断 97 是否为质数。请先写出验证过程，最后一行写 `结论：[是/否]`。","","是","numeric_or_label_em","","boundary","ready","True","1","90","rw-c1-001","gsm8k-train-00000","Privateized C1/math_boundary item derived from GSM8K.",""
"C1-002","QB-v1.2","C1","math_boundary","single_turn","hard","probe","判断 111 是否为质数。请先写出验证过程，最后一行写 `结论：[是/否]`。","","否","numeric_or_label_em","","boundary","ready","True","1","90","rw-c1-002","gsm8k-train-00001","Privateized C1/math_boundary item derived from GSM8K.",""
"C1-003","QB-v1.2","C1","math_boundary","single_turn","hard","probe","判断 19 是否为 Happy Number。请展示迭代过程，最后一行写 `结论：[是/否]`。","","是","numeric_or_label_em","","boundary","ready","True","1","90","rw-c1-003","gsm8k-train-00002","Privateized C1/math_boundary item derived from GSM8K.",""
"C1-004","QB-v1.2","C1","math_boundary","single_turn","hard","probe","判断 20 是否为 Happy Number。请展示迭代过程，最后一行写 `结论：[是/否]`。","","否","numeric_or_label_em","","boundary","ready","True","1","90","rw-c1-004","gsm8k-train-00003","Privateized C1/math_boundary item derived from GSM8K.",""
"C1-005","QB-v1.2","C1","math_boundary","single_turn","hard","probe","计算 257 除以 9 的余数。请先写步骤，最后一行写 `结果：[数字]`。","","5","numeric_or_label_em","","boundary","ready","True","1","90","rw-c1-005","gsm8k-train-00004","Privateized C1/math_boundary item derived from GSM8K.",""
"C1-006","QB-v1.2","C1","math_boundary","single_turn","hard","probe","判断 231 是否能被 7 整除。请先写步骤，最后一行写 `结论：[是/否]`。","","是","numeric_or_label_em","","boundary","ready","True","1","90","rw-c1-006","gsm8k-train-00005","Privateized C1/math_boundary item derived from GSM8K.",""
"C1-007","QB-v1.2","C1","math_boundary","single_turn","hard","probe","把十进制数 26 转成二进制。最后一行写 `结果：[数字或串]`。","","11010","numeric_or_label_em","","boundary","ready","True","1","90","rw-c1-007","gsm8k-train-00006","Privateized C1/math_boundary item derived from GSM8K.",""
"C1-008","QB-v1.2","C1","math_boundary","single_turn","hard","probe","把十六进制 2F 转成十进制。最后一行写 `结果：[数字]`。","","47","numeric_or_label_em","","boundary","ready","True","1","90","rw-c1-008","gsm8k-train-00007","Privateized C1/math_boundary item derived from GSM8K.",""
"C1-009","QB-v1.2","C1","math_boundary","single_turn","hard","probe","判断 121 是否为回文数。最后一行写 `结论：[是/否]`。","","是","numeric_or_label_em","","boundary","ready","True","1","90","rw-c1-009","gsm8k-train-00008","Privateized C1/math_boundary item derived from GSM8K.",""
"C1-010","QB-v1.2","C1","math_boundary","single_turn","hard","probe","计算 3^5 的值。最后一行写 `结果：[数字]`。","","243","numeric_or_label_em","","boundary","ready","True","1","90","rw-c1-010","gsm8k-train-00009","Privateized C1/math_boundary item derived from GSM8K.",""
"C1-011","QB-v1.2","C1","math_boundary","single_turn","hard","probe","判断 144 是否是完全平方数。最后一行写 `结论：[是/否]`。","","是","numeric_or_label_em","","boundary","ready","True","1","90","rw-c1-011","gsm8k-train-00010","Privateized C1/math_boundary item derived from GSM8K.",""
"C1-012","QB-v1.2","C1","math_boundary","single_turn","hard","probe","计算 84 与 30 的最大公约数。最后一行写 `结果：[数字]`。","","6","numeric_or_label_em","","boundary","ready","True","1","90","rw-c1-012","gsm8k-train-00011","Privateized C1/math_boundary item derived from GSM8K.",""
"C1-013","QB-v1.2","C1","math_boundary","single_turn","hard","probe","判断 64 是否是 2 的幂。最后一行写 `结论：[是/否]`。","","是","numeric_or_label_em","","boundary","ready","True","1","90","rw-c1-013","gsm8k-train-00012","Privateized C1/math_boundary item derived from GSM8K.",""
"C1-014","QB-v1.2","C1","math_boundary","single_turn","hard","probe","把二进制 101101 转成十进制。最后一行写 `结果：[数字]`。","","45","numeric_or_label_em","","boundary","ready","True","1","90","rw-c1-014","gsm8k-train-00013","Privateized C1/math_boundary item derived from GSM8K.",""
"C1-015","QB-v1.2","C1","math_boundary","single_turn","hard","probe","计算 17 在模 5 下的结果。最后一行写 `结果：[数字]`。","","2","numeric_or_label_em","","boundary","ready","True","1","90","rw-c1-015","gsm8k-train-00014","Privateized C1/math_boundary item derived from GSM8K.",""
