"question_id","version","module","subtype","item_format","difficulty","drift_role","prompt_template","turn_script","ground_truth","scoring_method","scoring_params","module_quota_tag","qa_status","rotation_replaceable","rotation_priority","rotation_expected_lifespan_days","provenance_rewrite_ids","provenance_source_candidate_ids","provenance_transformation_summary","notes"
"A3-001","QB-v1.2","A3","format_constraint","single_turn","easy","capability","请将以下天气预报转写为合法 JSON 对象，必须包含 `city`、`temperature_c`、`humidity`、`wind_direction` 四个字段，不要输出 JSON 以外的任何文字。原始信息：城市=杭州，温度 24 摄氏度，湿度 68%，风向东南。","","","rule","{""required_fields"": [""city"", ""temperature_c"", ""humidity"", ""wind_direction""], ""rule_kind"": ""json_fields""}","format_json","ready","True","1","90","rw-a3-001","ifeval-1000","Privateized A3/format_constraint item derived from IFEval.","QB-v1.3 content refresh: diversified A3 instruction-following prompts (replaced templated repeats with real-world scenarios)."
"A3-002","QB-v1.2","A3","format_constraint","single_turn","easy","capability","请将学生成绩信息封装为 JSON，必须包含 `student_id`、`subject`、`score`、`grade_letter` 四个字段。原始信息：学号 S20231027，科目 Linear Algebra，分数 87，对应等级 B+。","","","rule","{""required_fields"": [""student_id"", ""subject"", ""score"", ""grade_letter""], ""rule_kind"": ""json_fields""}","format_json","ready","True","1","90","rw-a3-002","ifeval-1001","Privateized A3/format_constraint item derived from IFEval.","QB-v1.3 content refresh: diversified A3 instruction-following prompts (replaced templated repeats with real-world scenarios)."
"A3-003","QB-v1.2","A3","format_constraint","single_turn","easy","capability","请把以下商品库存记录转写为 JSON 格式，必填字段：`sku`、`name`、`stock_units`、`unit_price_cny`。不要输出额外说明文字。原始信息：SKU=A-7711，名称=无线降噪耳机，库存 152 件，单价 899 元。","","","rule","{""required_fields"": [""sku"", ""name"", ""stock_units"", ""unit_price_cny""], ""rule_kind"": ""json_fields""}","format_json","ready","True","1","90","rw-a3-003","ifeval-1005","Privateized A3/format_constraint item derived from IFEval.","QB-v1.3 content refresh: diversified A3 instruction-following prompts (replaced templated repeats with real-world scenarios)."
"A3-004","QB-v1.2","A3","format_constraint","single_turn","easy","capability","请用 JSON 表示一次航班状态，必须包含 `flight_no`、`departure_airport`、`arrival_airport`、`status` 四个字段。原始信息：航班 CA1856，出发地 PEK 首都机场，目的地 CAN 白云机场，状态按计划。","","","rule","{""required_fields"": [""flight_no"", ""departure_airport"", ""arrival_airport"", ""status""], ""rule_kind"": ""json_fields""}","format_json","ready","True","1","90","rw-a3-004","ifeval-1012","Privateized A3/format_constraint item derived from IFEval.","QB-v1.3 content refresh: diversified A3 instruction-following prompts (replaced templated repeats with real-world scenarios)."
"A3-005","QB-v1.2","A3","format_constraint","single_turn","easy","capability","请把餐厅菜品改写为 JSON，必填字段：`dish_name`、`price_yuan`、`category`、`is_spicy`。不要输出 JSON 之外的内容。原始信息：菜名=麻婆豆腐，价格 38 元，类别川菜，是否辣=是。","","","rule","{""required_fields"": [""dish_name"", ""price_yuan"", ""category"", ""is_spicy""], ""rule_kind"": ""json_fields""}","format_json","ready","True","1","90","rw-a3-005","ifeval-1019","Privateized A3/format_constraint item derived from IFEval.","QB-v1.3 content refresh: diversified A3 instruction-following prompts (replaced templated repeats with real-world scenarios)."
"A3-006","QB-v1.2","A3","format_constraint","single_turn","easy","capability","请将一本图书的元数据转写为合法 JSON，必须包含 `title`、`author`、`publication_year`、`genre` 四个字段。原始信息：书名「百年孤独」，作者加西亚·马尔克斯，出版年 1967，类型魔幻现实主义。","","","rule","{""required_fields"": [""title"", ""author"", ""publication_year"", ""genre""], ""rule_kind"": ""json_fields""}","format_json","ready","True","1","90","rw-a3-006","ifeval-102","Privateized A3/format_constraint item derived from IFEval.","QB-v1.3 content refresh: diversified A3 instruction-following prompts (replaced templated repeats with real-world scenarios)."
"A3-007","QB-v1.2","A3","format_constraint","single_turn","medium","capability","请用 JSON 表示一条员工通讯录记录，必填字段：`employee_name`、`department`、`email`、`role_level`。原始信息：姓名=陈晓萌，部门=数据科学，邮箱 chenxm@example.com，职级 P6。","","","rule","{""required_fields"": [""employee_name"", ""department"", ""email"", ""role_level""], ""rule_kind"": ""json_fields""}","format_json","ready","True","1","90","rw-a3-007","ifeval-1021","Privateized A3/format_constraint item derived from IFEval.","QB-v1.3 content refresh: diversified A3 instruction-following prompts (replaced templated repeats with real-world scenarios)."
"A3-008","QB-v1.2","A3","format_constraint","single_turn","medium","capability","请把一场足球比赛结果转写为 JSON 格式，必须包含 `home_team`、`away_team`、`home_score`、`away_score`、`match_date` 五个字段。原始信息：主队 Manchester United，客队 Liverpool，主队 2 分，客队 2 分，比赛日期 2025-10-04。","","","rule","{""required_fields"": [""home_team"", ""away_team"", ""home_score"", ""away_score"", ""match_date""], ""rule_kind"": ""json_fields""}","format_json","ready","True","1","90","rw-a3-008","ifeval-1040","Privateized A3/format_constraint item derived from IFEval.","QB-v1.3 content refresh: diversified A3 instruction-following prompts (replaced templated repeats with real-world scenarios)."
"A3-009","QB-v1.2","A3","format_constraint","single_turn","medium","capability","请用 JSON 表示一部电影条目，必须包含 `title`、`director`、`release_year`、`imdb_rating` 四个字段，不要输出 JSON 以外的任何文字。原始信息：片名「星际穿越」，导演 Christopher Nolan，2014 年上映，IMDB 评分 8.7。","","","rule","{""required_fields"": [""title"", ""director"", ""release_year"", ""imdb_rating""], ""rule_kind"": ""json_fields""}","format_json","ready","True","1","90","rw-a3-009","ifeval-1051","Privateized A3/format_constraint item derived from IFEval.","QB-v1.3 content refresh: diversified A3 instruction-following prompts (replaced templated repeats with real-world scenarios)."
"A3-010","QB-v1.2","A3","format_constraint","single_turn","medium","capability","请将一种植物的养护要点转写为 JSON 格式，必填字段：`plant_name`、`light_requirement`、`watering_frequency`、`best_season`。原始信息：植物名=龟背竹，光照需求=明亮散射光，浇水频率=每周 1 次，最佳生长季节=春夏。","","","rule","{""required_fields"": [""plant_name"", ""light_requirement"", ""watering_frequency"", ""best_season""], ""rule_kind"": ""json_fields""}","format_json","ready","True","1","90","rw-a3-010","ifeval-1069","Privateized A3/format_constraint item derived from IFEval.","QB-v1.3 content refresh: diversified A3 instruction-following prompts (replaced templated repeats with real-world scenarios)."
