"question_id","version","module","subtype","item_format","difficulty","drift_role","prompt_template","turn_script","ground_truth","scoring_method","scoring_params","module_quota_tag","qa_status","rotation_replaceable","rotation_priority","rotation_expected_lifespan_days","provenance_rewrite_ids","provenance_source_candidate_ids","provenance_transformation_summary","notes"
"A1-001","QB-v1.2","A1","math_reasoning","single_turn","easy","capability","某仓储中心上午处理了 8 托盘货物，每托盘有 3 个箱子；下午又临时补发了 2 批急单，每批 6 箱。搬运机器人在中途还做过一次自检，这条信息与计算无关。请先写出推理步骤，最后一行严格写成 `答案：[数字]`。","","36","numeric_em","{""answer_format"": ""答案：[数字]""}","rate_counting","ready","True","1","90","rw-a1-001","gsm8k-train-00000","Privateized A1/math_reasoning item derived from GSM8K.",""
"A1-002","QB-v1.2","A1","math_reasoning","single_turn","easy","capability","一家文创店给企业客户批量采购笔记本，单价 29 元，共 5 本；每本可减 6 元。店员另外提到当天背景音乐换过三次，这与计算无关。请先列出推理步骤，最后一行输出 `答案：[数字]`。","","115","numeric_em","{""answer_format"": ""答案：[数字]""}","profit_discount","ready","True","1","90","rw-a1-002","gsm8k-train-00001","Privateized A1/math_reasoning item derived from GSM8K.",""
"A1-003","QB-v1.2","A1","math_reasoning","single_turn","medium","capability","一条步道第一段长 17 米，第二段比第一段多 5 米，这两段路线一共要重复走 4 次。天气预报说傍晚有风，这与结果无关。请先写详细推理，最后一行写 `答案：[数字]`。","","88","numeric_em","{""answer_format"": ""答案：[数字]""}","distance_repeat","ready","True","1","90","rw-a1-003","gsm8k-train-00002","Privateized A1/math_reasoning item derived from GSM8K.",""
"A1-004","QB-v1.2","A1","math_reasoning","single_turn","medium","capability","会场原本按 9 行、每行 10 个座位排布，后因摄像机机位占用了 8 个座位。主持人更换了开场词，这与计算无关。请写出推理步骤，并在最后一行输出 `答案：[数字]`。","","82","numeric_em","{""answer_format"": ""答案：[数字]""}","grid_subtract","ready","True","1","90","rw-a1-004","gsm8k-train-00003","Privateized A1/math_reasoning item derived from GSM8K.",""
"A1-005","QB-v1.2","A1","math_reasoning","single_turn","medium","capability","一家订阅服务连续 5 周新增用户数构成等差数列，第一周新增 24 人，每周比前一周多 3 人。客服部门同时更换了工单标签，但这与计算无关。请先推理，最后一行写 `答案：[数字]`。","","150","numeric_em","{""answer_format"": ""答案：[数字]""}","sequence_sum","ready","True","1","90","rw-a1-005","gsm8k-train-00004","Privateized A1/math_reasoning item derived from GSM8K.",""
"A1-006","QB-v1.2","A1","math_reasoning","single_turn","easy","capability","某仓储中心上午处理了 13 托盘货物，每托盘有 4 个箱子；下午又临时补发了 4 批急单，每批 6 箱。搬运机器人在中途还做过一次自检，这条信息与计算无关。请先写出推理步骤，最后一行严格写成 `答案：[数字]`。","","76","numeric_em","{""answer_format"": ""答案：[数字]""}","rate_counting","ready","True","1","90","rw-a1-006","gsm8k-train-00005","Privateized A1/math_reasoning item derived from GSM8K.",""
"A1-007","QB-v1.2","A1","math_reasoning","single_turn","easy","capability","一家文创店给企业客户批量采购笔记本，单价 34 元，共 5 本；每本可减 7 元。店员另外提到当天背景音乐换过三次，这与计算无关。请先列出推理步骤，最后一行输出 `答案：[数字]`。","","135","numeric_em","{""answer_format"": ""答案：[数字]""}","profit_discount","ready","True","1","90","rw-a1-007","gsm8k-train-00006","Privateized A1/math_reasoning item derived from GSM8K.",""
"A1-008","QB-v1.2","A1","math_reasoning","single_turn","medium","capability","一条步道第一段长 22 米，第二段比第一段多 6 米，这两段路线一共要重复走 4 次。天气预报说傍晚有风，这与结果无关。请先写详细推理，最后一行写 `答案：[数字]`。","","112","numeric_em","{""answer_format"": ""答案：[数字]""}","distance_repeat","ready","True","1","90","rw-a1-008","gsm8k-train-00007","Privateized A1/math_reasoning item derived from GSM8K.",""
"A1-009","QB-v1.2","A1","math_reasoning","single_turn","medium","capability","会场原本按 8 行、每行 10 个座位排布，后因摄像机机位占用了 5 个座位。主持人更换了开场词，这与计算无关。请写出推理步骤，并在最后一行输出 `答案：[数字]`。","","75","numeric_em","{""answer_format"": ""答案：[数字]""}","grid_subtract","ready","True","1","90","rw-a1-009","gsm8k-train-00008","Privateized A1/math_reasoning item derived from GSM8K.",""
"A1-010","QB-v1.2","A1","math_reasoning","single_turn","medium","capability","一家订阅服务连续 4 周新增用户数构成等差数列，第一周新增 29 人，每周比前一周多 4 人。客服部门同时更换了工单标签，但这与计算无关。请先推理，最后一行写 `答案：[数字]`。","","140","numeric_em","{""answer_format"": ""答案：[数字]""}","sequence_sum","ready","True","1","90","rw-a1-010","gsm8k-train-00009","Privateized A1/math_reasoning item derived from GSM8K.",""
